artistGNDId,artistName (preferred),placeOfBirth,birth year,num_works,birth_year_span_start,latitude,longitude
102433275,"Bergeret, Pierre Nolasque",Bordeaux,1782.0,3,1750.0,44.841225,-0.5800364
102440263,"Boucher Desnoyers, Auguste Gaspard Louis",Paris,1779.0,12,1750.0,48.8588897,2.320041
1024702502,"Gerardin, Auguste",Mülhausen,1849.0,2,1800.0,48.8823608,7.5527146
1024751309,"Hoogstraten, Dirck",Antwerpen,1595.0,9,1550.0,51.2211097,4.3997081
1024934322,"Plattner, Franz",Zirl,1823.0,1,1800.0,47.2733773,11.2422348
1024988333,"Picart, Etienne",Paris,1632.0,4,1600.0,48.8588897,2.320041
102508542,"Hopfer, Lambert",Augsburg,1471.0,26,1450.0,48.3690341,10.8979522
102508542,Monogrammist MTR,Augsburg,1501.0,1,1500.0,48.3690341,10.8979522
102508569,Anonym,Augsburg,1500.0,1,1500.0,48.3690341,10.8979522
102508569,"Hopfer, Hieronymus",Augsburg,1500.0,34,1500.0,48.3690341,10.8979522
102508585,"Hopfer, Daniel",Kaufbeuren,1470.0,18,1450.0,47.8803788,10.622246
1025544765,"Schwemminger, Heinrich",Wien,1803.0,6,1800.0,48.2083537,16.3725042
10256194X,"Liefrinck, Hans",Augsburg,1518.0,2,1500.0,48.3690341,10.8979522
1025643178,"Tardieu, Nicolas Henri",Paris,1674.0,12,1650.0,48.8588897,2.320041
102573166,"Beaumont, Édouard de",Lannion,1821.0,48,1800.0,48.7322183,-3.4587994
102675772X,"Stefanoni, Pietro",Vicenza,1589.0,1,1550.0,45.6348591,11.4063543
1027625150,"Feuchère, Jean-Jacques",Paris,1807.0,2,1800.0,48.8588897,2.320041
103084053,Anonym,Bad Grönenbach,1739.0,11,1700.0,47.8777154,10.2215159
103084053,"Anonym, deutsch, 18. Jahrhundert",Bad Grönenbach,1701.0,2,1700.0,47.8777154,10.2215159
103084053,"Anonym, deutsch, 19. Jahrhundert",Bad Grönenbach,1801.0,1,1800.0,47.8777154,10.2215159
